a,啊嗄阿
pie,丿嫳撇瞥
pin,品嚬姘娦嫔嬪拼聘贫频
ping,乒俜凭凴呯坪塀娉屏屛岼帡帲幈平慿憑瓶苹萍评
po,叵嘙坡婆尀岥岶泊泼破迫魄
pou,剖咅哣娝婄抔抙捊掊
pu,仆僕匍噗圃圑圤埔墣巬巭扑普朴瀑葡谱铺
qi,七乞亓亝企俟倛僛其凄剘启呇呮咠唘唭啓啔啟嘁噐器圻埼夡奇契妻娸婍屺岂岐岓崎嵜帺弃忔忯悽愭慼慽憇憩懠戚捿掑旗期棋欺气汽漆祈起骑齐
qia,冾圶峠帢恰愘拤掐洽
qian,乾仟仱伣佥俔倩偂傔僉儙兛凵刋前千嗛圱圲堑塹墘壍奷婜媊嬱孅孯岍岒嵌嵰忴悓悭愆慊慳扦扲拑拪掔掮揵欠歉浅潜牵签谦迁钱铅
qiang,丬呛唴嗆嗴墏墙墻嫱嬙嶈廧強强戕戗戧抢枪腔
qiao,乔侨俏僑僺劁喬嘺墝墽嫶峭嵪巧帩幧悄愀憔敲桥瞧翘
qie,且切匧厒妾怯悏惬愜挈窃
qin,亲侵勤吢吣唚嗪噙坅埁媇嫀寑寝寢寴嵚嶔庈慬懃懄抋捦揿搇琴禽秦
qing,倾傾儬凊剠勍卿圊埥夝寈庆庼廎情慶掅清请轻青
qiong,儝卭宆惸憌琼穷
qiu,丘丠俅叴唒囚坵媝崷巯巰恘扏求球秋邱
qu,伹佉佢刞劬匤区區厺去取呿唟坥娶屈岖岨岴嶇忂憈戵抾曲渠趣驱
quan,佺全券劝勧勸啳圈圏埢奍姾婘孉峑巏弮恮悛惓拳权泉犬
que,却卻埆塙墧崅悫愨慤搉瘸确缺雀鹊
qun,囷夋宭峮帬群裙
ran,冄冉呥嘫姌媣染然燃
rang,儴勷嚷壌壤懹让
rao,娆嬈扰绕饶
re,惹热
ren,人亻仁仞仭任刃刄壬妊姙屻岃忈忍忎扨认韧
reng,仍扔
ri,囸日
rong,傇冗坈媶嫆嬫宂容峵嵘嵤嶸巆戎搈溶熔绒荣蓉融
rou,厹媃宍揉柔肉
ru,乳侞儒入嗕嚅如媷嬬孺嶿帤扖蠕辱
rua,挼
ruan,偄堧壖媆软
rui,叡壡婑瑞蕊锐
run,润闰
ruo,偌叒嵶弱捼若
sa,仨卅挱挲撒洒
sai,僿嗮嘥噻塞愢揌腮赛
san,三仐伞俕傘厁叁壭帴弎散
sang,丧喪嗓桑
sao,埽嫂慅扫掃掻骚
se,啬嗇懎涩色
sen,森
seng,僧
sha,乷倽傻儍刹剎厦唦唼啑啥喢帹廈杀沙纱鲨
shai,晒筛
shan,傓僐删刪剡剼善嘇圸埏墠墡姍姗嬗山幓彡扇挻掞擅珊衫闪
shang,丄上伤傷商垧墒尙尚恦慯扄裳赏
shao,劭勺卲哨娋少弰捎梢烧稍绍
she,佘厍厙奢射弽慑慴懾捨涉社舌舍蛇设
shen,什伸侁侺兟呻哂堔妽姺娠婶嬸审宷審屾峷弞愼慎扟沈深甚申神肾身
sheng,偗剩剰勝升呏圣墭声嵊憴生盛省绳胜
shi,世丗乨乭亊事仕似佦使侍兘冟势勢匙十卋叓史呞呩嗜噬埘塒士失奭始姼媞嬕实実室宩寔實尸屍屎峕崼嵵市师師式弑弒徥忕恀恃戺拭拾揓施时是湿狮石示视誓识试诗适释食
shou,兽収受售垨壽夀守寿手扌授收瘦首
shu,书侸倏倐儵叔咰塾墅姝婌孰尌尗属屬庶庻怷恕戍抒捒掓数暑术束树梳熟疏署舒赎输述鼠
shua,刷唰耍
